Th(in),Th(out),Tc(in),Tc(out),Rhoh,Rhoc,V%h,V%c,UNTU,ULMTD
44.4567668,33.302817,14.56434638,23.20459027,993.8046585,998.3327495,63.29872302,44.86379716,96353.48448,125952.0165
42.27903999,34.23767819,15.49093321,23.97091576,992.4256366,998.277513,53.97309583,39.82623268,78842.74297,101472.1325
46,35,15.6,27.2,992.06,997.89,50,40,107726.24,101712.3192
44.44795156,33.2887062,15.44321582,28.05504224,992.6691042,997.8870352,70.10329821,42.74489833,115661.8107,70781.27599
46.31384408,29.84804799,15.50070072,22.72776829,991.94496,998.0032445,13.99225097,73.47402456,47132.01112,64173.14215
43.9,30.3,14.6,21.4,993.33,998.57,30,70,74607.21238,76355.87088
46.20605425,33.79911927,15.29825909,19.82250582,993.2181027,997.8345214,32.31549325,67.01230095,92731.36454,81548.82854
45.8,32.2,14.5,22.8,992.63,998.45,20,30,48290.55674,47504.58727
44.31286628,31.47664854,15.49404291,24.72225269,993.0352578,997.764025,59.49753824,85.90918091,78710.25213,84503.00394
46.02151679,30.30581301,14.40117876,21.7050536,991.645211,998.9911554,42.36403815,39.888906,65737.41343,89296.86625
43.2,32.2,16.1,25.8,993.11,997.99,30,30,72348.83499,69692.36547
44.86103187,31.52093705,15.38088507,19.64103762,992.0593525,997.9385927,31.18184525,49.92117604,132152.0643,79431.75401
45.5,37.4,15.8,30.2,991.69,997.53,80,40,132322.9815,125227.3576
46.3284264,32.00218624,14.76834444,21.88039306,993.5668653,999.1304633,3.88660274,62.56402526,54112.53274,31425.53662
43.59180024,31.76889517,14.84806697,25.12190029,992.6720424,998.6134939,41.12046842,41.305004,106430.3116,81469.66176
47.34795012,37.63234003,14.56792002,26.37278081,992.937925,997.9786162,21.13891116,78.95344387,83779.08321,89767.35992
45.8,36.2,15.7,28.7,991.86,997.72,65,40,126790.649,117526.4504
45.58862258,31.52608183,15.42699332,17.27371991,992.1013524,998.0731344,66.76335494,40.71950473,136771.2224,109688.0892
46.07393097,34.10998685,15.76828362,26.37755501,991.8246479,998.3041967,54.74059901,116.7713694,101923.0693,137589.5376
43.6,29.8,15.1,20.5,993.47,998.6,30,80,78332.07762,78789.89668
43.39022611,33.23337284,14.6195272,18.94416543,992.4681556,998.2184678,-0.404132417,46.20875888,59553.31643,71042.58139
44.8,30.5,14.7,20.7,993.13,998.62,25,75,62561.91666,64297.60796
43.6,29.8,15.1,20.5,993.47,998.6,30,80,78332.07762,78789.89668
42.56522589,29.52960935,15.70985213,28.35488634,993.0405325,997.948323,22.77483859,22.50646554,96261.83494,75810.44478
44.2,32.8,14.9,25.9,992.81,998.11,25,25,56181.74593,55657.11386
44.25549362,33.04343247,15.77329963,32.60234385,993.1578564,998.208738,10.54853475,45.90954294,107791.8449,81740.76167
46.1,33.1,15.9,23.2,992.4,998.28,40,70,92435.99316,92256.55198
45,30.6,14.5,21.3,993.07,998.59,30,70,76569.90037,77704.30796
46,35,15.6,27.2,992.06,997.89,50,40,107726.24,101712.3192
45.5,37.4,15.8,30.2,991.69,997.53,80,40,132322.9815,125227.3576
47.42972184,25.18574332,14.3467873,26.59100287,992.6353921,997.5710975,47.79976801,26.33661252,90515.42288,97029.62927
41.2,26.8,14.7,18.6,994.4,998.8,20,80,60189.20654,60664.87279
44.46081139,32.45227962,14.66184786,19.59097371,992.8315514,998.346107,32.01555962,44.55398807,90166.0049,91188.97119
46,32.8,15.5,22.3,992.48,998.4,40,80,91272.84201,91756.66471
45.11160541,28.79111829,15.14654477,16.67039981,992.5654437,998.8264771,48.74676816,58.28029968,93981.44346,82026.64401
44.7904505,32.92087736,15.42417865,26.37760247,992.7350723,997.9941632,13.64597678,54.87472362,97133.63304,89358.06641
44.68120557,39.5854,14.55918644,24.181902,993.0661266,998.7843582,37.6752247,33.96908424,67053.77976,109632.6673
44.33892591,30.92648224,14.71833828,21.67587974,993.2753111,998.4969607,36.78887117,75.22054687,44990.60664,104093.1663
46.59184612,37.66795701,15.90936744,18.9223038,992.1468324,998.136474,37.16163659,85.16846835,87208.72697,113349.5611
45.22953421,33.31873312,14.59114825,24.65501769,992.8568838,998.1510313,20.06628859,40.44283323,41098.78192,66205.97511
44.4534017,27.0782049,14.51531568,27.3097357,991.6269905,998.8369613,42.95427148,36.46803992,78922.07485,114874.4201
43.80966259,35.76844229,15.46270322,27.03188199,992.4210639,998.3378637,24.06160427,86.74262693,108762.149,52160.70146
43.35436805,30.62645449,14.81162,27.66690386,992.1253576,997.8658598,40.08794135,56.37406932,115102.9667,85978.87712
42.62071119,37.45229938,15.43770249,22.5545839,992.4645097,998.1898909,37.16295212,57.18986451,97675.69063,66670.45316
45.43524139,32.54530547,15.24535454,21.38079895,993.0034701,998.575844,17.8482473,52.73164759,96374.27122,82332.34957
44.70670312,33.80961137,15.53299033,21.91931876,992.1495651,997.8634081,16.46425721,47.94140424,83405.67243,121554.8093
47.10519517,34.44585553,15.619891,24.9089932,992.3337179,998.467822,66.73119827,35.53849245,123296.5396,123273.3898
46.66984293,33.93082708,15.57390985,27.91693584,992.4811995,999.010516,27.20996073,68.35727167,77392.15135,84119.57505
45.92092127,32.13302656,15.7496742,26.89863218,993.0921809,998.1057014,43.83548149,29.89184218,94418.84036,96832.66862
43.45603162,31.85432309,15.97089722,21.61831758,993.2084212,998.2951581,69.21039933,30.34902476,88929.89113,60469.9391
43.65712075,30.60784548,14.89134683,33.25472018,992.7982563,998.1901087,53.52849208,58.8370895,95241.10459,88250.11194
45.02644257,30.27576724,15.92654118,29.91712458,992.9000048,997.7358402,71.8200335,67.56986884,103720.7635,106415.7637
45.29269274,32.04724651,15.75276364,27.00642182,992.8185441,998.0243946,54.84906416,94.1987283,80326.00972,88613.30081
44.69300738,32.94875395,16.88777895,21.91271192,992.5977601,997.9704706,59.19691054,71.84679535,68735.82172,88322.23178
45.85419467,34.11070656,14.83073592,19.14468444,993.4785649,997.8420996,43.92004118,68.47227686,31015.96739,92879.37167
43.52103017,28.3861106,15.32480239,30.64754838,993.3335501,998.2003955,36.68557576,76.76690724,70504.71414,58043.2349
45.67806124,28.6469954,14.80875938,25.23656004,993.0671163,998.2035776,43.07461126,68.2100107,127492.123,60364.28637
47.82715597,32.32587277,16.40433162,26.83186299,993.0522646,998.4137606,40.70228201,40.66726337,37074.89448,56069.03493
44.14602107,35.39613189,14.79342801,29.25080889,991.8057474,997.6264577,77.67127827,62.3568346,82224.76044,72383.83278
44.7904744,37.71199013,16.05811705,39.13238444,992.1186904,998.2986037,65.09897316,38.90019952,74454.01867,102082.3709
45.1,35.3,15.9,28.8,992.17,997.68,45,30,92304.64961,87488.74509
46.1,33.1,15.9,23.2,992.4,998.28,40,70,92435.99316,92256.55198
47.26443458,31.4422525,16.38611905,22.60591236,992.1270593,998.4230045,61.08687211,37.32314072,116439.3695,83837.83801
43.9,30.3,14.6,21.4,993.33,998.57,30,70,74607.21238,76355.87088
45,31.1,15.6,21.2,992.98,998.56,30,70,76727.96162,76167.54473
45.8,32.2,14.5,22.8,992.63,998.45,35,65,81266.1917,83133.02773
46.48668551,28.83159035,15.79346164,27.36959803,993.1920727,997.9949697,45.6343709,25.27359593,97276.77729,118147.9805
46.5511112,31.33287498,15.51686504,20.49473186,991.8896226,998.7341054,55.58039248,58.25862471,120030.964,44296.92004
44.96292923,27.2841554,15.1352311,22.59439664,993.5883147,997.278468,40.57178446,59.2610319,77817.69274,140223.8578
46.63182253,37.22748332,15.02845266,26.10540745,993.4746683,998.7088282,28.91446471,69.66966709,78168.13615,81836.01529
45.60293936,36.44924131,15.56848762,18.6031831,991.9505714,997.8091071,31.58751486,25.92942169,112632.6374,86423.57919
41.2,26.8,14.7,18.6,994.4,998.8,20,80,60189.20654,60664.87279
44.25704793,33.9145808,15.85627364,24.58352537,991.9422625,998.2404192,71.52080499,44.78524535,96105.19844,80167.83554
45.4177725,33.55073533,15.77630766,27.71781264,993.4289114,997.848128,24.51987876,71.92408131,141313.3283,110356.404
45,31.1,15.6,21.2,992.98,998.56,30,70,76727.96162,76167.54473
44.43383387,33.32643801,14.77166595,23.44419918,992.6400211,997.5077302,32.01110327,40.73631334,98117.192,80025.33303
43.07570672,34.01226337,14.87119182,18.24646667,992.2013727,997.83993,54.27281372,67.74562749,80918.85545,118675.5829

